"Survey Date and Time","Surveyer id","General Data-Tehsil","General Data-District","General Data-Establishment Address","General Data-Udyog Registered","General Data-If yes Number","General Data-Class","General Data-Sector","General Data-If Any Other Sector Please specify","General Data-Year of Establishment","Details of the Business-Name of Business","Details of the Business-Type of Unit","Details of the Business-Nature of Operation","Details of the Business-Nature Of Job","Details of the Business-Nature Of Employment","Employee Size-2016-17","Employee Size-2017-18","Employee Size-2018-19","Employee Size-2019-20","Employee Size-2020-21","Details of the Finances and Expenses-(Monthly  Cost)-2016-17","Details of the Finances and Expenses-(Monthly  Cost)-2017-18","Details of the Finances and Expenses-(Monthly  Cost)-2018-19","Details of the Finances and Expenses-(Monthly  Cost)-2019-20","Details of the Finances and Expenses-(Monthly  Cost)-2020-21","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2016-17","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2017-18","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2018-19","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2019-20","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2020-21","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2016-17","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2017-18","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2018-19","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2019-20","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2020-21","Details of the Bank Credit Facilitation and Utilization-(Scheme Name under which it was availed)-Scheme","Photos-Person interviewed","Photos-Signboard of Company","Photos-Picture of business operation"
"2021-08-14 09:38:53",26,Rampur,"Lakhimpur - Kheri","Dwarkapuri up",No,,"[""Manufacturing""]","Hosiery Garments",,2016,"hosiery garments",Micro,Casual,Semi-Skilled,Permanent,2,2,2,2,2,1000,2000,4000,3000,8000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:12:30",26,Pratapgarh,Pratapgarh,"rupapur afim Kothi rupapur Pratapgarh UP",No,,"[""Manufacturing""]","Repairing & Services",,2019,"repairing service",Micro,Seasonal,Semi-Skilled,Permanent,,,,2,2,,,,1000,1500,,,,,,,,,,,PMS,,,
"2021-08-14 09:32:26",26,"Baitha Bhavani",Unnao,"village HAL Kheda post chamiyani district Unnao UP",No,,"[""Manufacturing""]","Food products",,2020,"food product",Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,4000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:26:26",26,phoolpur,Varanasi,"village post phoolpur district Varanasi UP",No,,"[""Manufacturing""]","Machinery & Part except electrical",,2016,"machinery part electronic",Micro,Perennial,Semi-Skilled,Permanent,3,3,3,3,3,1500,11000,16000,20000,25000,,,,,,,,,,,PMS,,,
"2021-08-14 10:18:07",26,Faridabad,Faizabad,"New Market Chauk faizabad UP",No,,"[""Manufacturing""]","Hosiery Garments",,2016,"hosiery garments",Micro,Perennial,Semi-Skilled,Permanent,2,2,2,2,2,2000,4000,3000,1000,1500,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:14:55",26,Varanasi,Varanasi,"Saket Nagar Sankat Mochan Varanasi UP",No,,"[""Manufacturing""]","Food products",,2021,"food product",Micro,Perennial,Semi-Skilled,Permanent,,,,,,,,,,,,,,,,,,,,,PMS,,,
"2021-08-14 02:58:35",26,"m bad gohna",Mau,"village parkhand post walidpur Tahsil m bad gohna  up",No,,"[""Manufacturing""]","Leather products",,2020,"leather product",Micro,Seasonal,Semi-Skilled,Permanent,,,,,2,,,,,2000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 11:11:59",26,Jhansi,Allahabad,"Haripur asepurAllahabad UP",No,,"[""Manufacturing""]",Other,"auto service",2016,"auto shop",Small,Seasonal,Semi-Skilled,Permanent,4,4,4,4,4,2000,3500,4000,5200,4500,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:22:11",33,maura,Jhansi,"katera. maura ni  jhansi ",No,,"[""Services""]","Food products",,2020,shop,Micro,Perennial,Semi-Skilled,Contractual,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:32:48",33,mujaffarnagar,Muzaffarnagar,"0 sarwat  gaon  11 mujaffarnagar",No,,"[""Services""]","Food products",,2020,shop,Micro,Perennial,Semi-Skilled,Contractual,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:31:39",33,"Deoria ",Deoria,"harirampur  gauri bazar",No,,"[""Services""]","Food products",,2020,"shop ",Micro,Perennial,Semi-Skilled,Contractual,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:55:30",33,Budaun,Budaun,"deen  nagar  shekh pur",No,,"[""Services""]","Food products",,2020,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,1000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:24:24",33,sitapur,Sitapur,"garuli kamlapur sitapur",No,,"[""Services""]","Food products",,2019,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:39:45",33,rampur,Rampur,"jhutia sahjad nagar rampur",No,,"[""Services""]","Food products",,2020,shop,Micro,Perennial,Semi-Skilled,Contractual,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:49:52",33,jhansi,Jhansi,"Nagra  prem nagar  jhansi ",No,,"[""Services""]","Food products",,2020,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:58:12",33,Aligarh,Aligarh,"nagla masani koil",No,,"[""Services""]","Food products",,2020,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:08:52",33,meerut,Meerut,"h no 1237/ 82 jaswant nagar ",No,,"[""Services""]","Food products",,2020,"shop ",Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:37:06",33,"sanjay nagar",RaeBareli,"sanjay nagar barely ",No,,"[""Services""]","Metal products",,2021,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:26:05",33,"Bignor ",Bijnor,"46 kotra sherkot  Bignor ",No,,"[""Services""]","Food products",,2020,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:58:12",33,"hapur ","Hapur (Panchsheel Nagar)","chamri road  hapur ",No,,"[""Services""]","Food products",,2020,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:49:20",33,mujaffarnagar,Muzaffarnagar,"mujaffarnagar city  ",No,,"[""Services""]","Food products",,2020,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:42:17",33,"ghaziyabad ",Ghaziabad,"upper  bazar  near modified nagar ",No,,"[""Services""]","Metal products",,2020,"shop ",Micro,Perennial,Semi-Skilled,Contractual,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:52:51",33,"saharanpur ",Saharanpur,"Gandhi chilkana  saharanpur ",No,,"[""Services""]","Repairing & Services",,2020,"shop ",Small,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:00:14",33,"meerut ",Meerut,"564 pilna sofipur ",No,,"[""Services""]","Food products",,2020,shop,Micro,Perennial,Semi-Skilled,Contractual,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:28:50",33,sitapur,Sitapur,"43 Tamsin tamsenganj  sitapur",No,,"[""Services""]","Wood products",,2020,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:44:29",33,Auraiya,Auraiya,"salempur mahera  kanpur ",No,,"[""Services""]","Food products",,2020,shop,Micro,Seasonal,Semi-Skilled,Contractual,,,,,2,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:36:50",33,meerut,Meerut,"shapeer gate  purwa jadi road  meerut ",No,,"[""Services""]","Food products",,2021,"shop ",Small,Seasonal,Semi-Skilled,Permanent,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:29:29",33,"Ghaziyabad ",Ghaziabad,"Laxmi  garden loni  dehat ",No,,"[""Services""]","Food products",,2020,"shop ",Micro,Perennial,Semi-Skilled,Contractual,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:03:21",33,"Moradabad ",Moradabad,"sihora govind  Moradabad ",No,,"[""Services""]","Wood products",,2020,shop,Micro,Perennial,Semi-Skilled,Contractual,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:46:43",33,badheri,Saharanpur,"village.  choubara. Baderi gugu",No,,"[""Services""]","Repairing & Services",,2018,shop,Micro,Perennial,Unskilled,Permanent,,,1,1,1,,,10000,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:50:16",33,"Bignor ",Bijnor,"moh tarai sherkot ",No,,"[""Services""]","Food products",,2020,"shop ",Micro,Perennial,Skilled,Contractual,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:50:02",33,Raebarareli,RaeBareli,"sainy  utsav  lan  Allahabad ",No,,"[""Services""]","Metal products",,2020,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:33:03",33,Ballia,Ballia,"majhhawalia  oi nawabgagar",No,,"[""Services""]","Food products",,2020,shop,Micro,Perennial,Semi-Skilled,Contractual,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:56:43",33,meerut,Meerut,"durhanpur meerut ",No,,"[""Services""]","Food products",,2020,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:02:05",33,"jaunpur ",Jaunpur,"shekhzada  kerakat ",No,,"[""Services""]","Food products",,2020,shop,Small,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:07:57",33,"jhansi ",Jhansi,"210 dari garan jhansi ",No,,"[""Services""]","Metal products",,2020,"shop ",Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,12000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:47:12",33,"lucknow ",Lucknow,"385/97 fail nagar saadatganj ",No,,"[""Services""]","Food products",,2020,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:52:49",33,Lalitpur,Lalitpur,"h no . 116 ramnagar lalitpur",No,,"[""Services""]","Food products",,2019,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:41:44",33,jalalabad,"Shamali (Prabuddh Nagar)","s/of Islam khan babu pura",No,,"[""Services""]","Repairing & Services",,2018,"shop ",Micro,Perennial,Unskilled,Permanent,,,1,1,1,,,10000,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:51:27",33,"ratanpur bijnor",Bijnor,"ratanpur Bignor ",No,,"[""Services""]","Wood products",,2020,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:52:45",33,Rampur,Rampur,"milak  mirja rampur",No,,"[""Services""]","Food products",,2020,"shop ",Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:10:16",33,jalaun,Jalaun,"Associates  mu khanderao",No,,"[""Services""]","Food products",,2020,"shop ",Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:44:28",33,bilsanda,Pilibhit,"1131mo Jama masjid",No,,"[""Services""]","Food products",,2019,food,Micro,Perennial,Semi-Skilled,Permanent,,,,1,1,,,,15000,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:25:07",33,"saharanpur ",Saharanpur,"asanwali punwarka  up",No,,"[""Services""]","Food products",,2020,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:03:46",33,"moradabad ",Moradabad,"smart  ashok  nagar ",No,,"[""Services""]","Food products",,2021,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:32:02",33," jaswantnagar",Meerut," h no 1237 /82 jaswant nagar",No,,"[""Services""]","Food products",,2020,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:05:45",33,Bijnor,Bijnor,"balkishanpur serkot  Bignor ",No,,"[""Services""]","Food products",,2019,"shop ",Small,Seasonal,Semi-Skilled,Contractual,,,,1,2,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:02:43",33,"sardar  ramper",Rampur,"67 vpo punjab nagar rampur",No,,"[""Services""]","Food products",,2020,"shop ",Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:27:12",33,Hapur,"Hapur (Panchsheel Nagar)","khunmyny  hapur ",No,,"[""Services""]","Food products",,2021,"shop ",Micro,Perennial,Semi-Skilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:18:33",34,"khair aligarh",Kaushambi,"mohiuddinpur, bela ",No,,"[""Services""]","Repairing & Services",,2017,shop,Micro,Perennial,Unskilled,Permanent,,1,1,1,1,,10000,10000,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:20:23",33,Mainpuri,Mainpuri,"nanamau kurauli  up",No,,"[""Services""]","Food products",,2020,"shop ",Micro,Seasonal,Unskilled,Contractual,,,,,2,,,,,20000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:44:43",34,fatehabad,Agra,"40 shivam vatika mauka miyapur",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:56:49",33,agra,Agra,"63/12 balkeshwar colony  agra",No,,"[""Services""]","Food products",,2020,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:19:55",34,vivekanad,Ghaziabad,"751, vivekanand nagar gzb",No,,"[""Services""]","Food products",,2019,food,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,15000,13000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:21:36",34,mathward,Deoria,"shiv mandir road  mathroad, lar",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Casual,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:36:10",33,"lucknow ",Lucknow,"old tilak ganj lucknow ",No,,"[""Services""]","Food products",,2020,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:45:59",34,malyqna,Meerut,"1482 brahmaputr, meerut",No,,"[""Services""]","Repairing & Services",,2018,shop,Micro,Perennial,Unskilled,Permanent,,,1,1,1,,,10000,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:08:55",33,gorakhpur,Gorakhpur,"shivpur  gorakhpur",No,,"[""Services""]","Food products",,2019,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:23:20",34,sherkot,Bijnor,"village balikishanpur",No,,"[""Services""]","Repairing & Services",,2019,ship,Micro,Seasonal,Unskilled,Permanent,,,,1,1,,,,16000,8000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:20:57",33,sitapur,Sitapur,"jhajjhar  biswan  sitapur",No,,"[""Services""]","Food products",,2020,"shop ",Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:24:17",34,"moh purana",Gorakhpur,"h n 245 moh purana gorakhpur",No,,"[""Services""]","Repairing & Services",,2020,shop,Micro,Perennial,Unskilled,Permanent,,,,,1,,,,,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:39:22",33,"Lalitpur ",Lalitpur,"bansi Lalitpur ",No,,"[""Services""]","Food products",,2020,shop,Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:48:16",34,"kanpur nagar","Kanpur Nagar","59/33 shop no. 5 opp pnb bithana road br kanapur",No,,"[""Services""]","Repairing & Services",,2018,shop,Small,Perennial,Semi-Skilled,Permanent,,,1,1,1,,,35000,35000,20000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:38:15",33,"Barelly ",RaeBareli,"Rmch    old res hostel  barelly ",No,,"[""Services""]","Food products",,2020,"shop ",Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:25:23",34,hathras,Hathras,"gali no. 1 shaker colony",No,,"[""Services""]","Repairing & Services",,2020,shop,Micro,Seasonal,Unskilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:42:09",33,"kheri ","Lakhimpur - Kheri","nai  basti lakhimpur kheri",No,,"[""Services""]","Food products",,2021,shop,Micro,Seasonal,Semi-Skilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:26:27",34,amgaon,Jhansi,"amgaon Jhansi",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Seasonal,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:04:01",33,bijnore,Bijnor,"shop no 4 akash  plaza  Bignor ",No,,"[""Services""]","Food products",,2020,"shop ",Micro,Perennial,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:27:17",34,amgaon,Jhansi,"amgaon jhansi",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Seasonal,Unskilled,Permanent,,,,1,1,,,,12000,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:36:44",34,khekkhra,Baghpat,"vpo agrawal mandi tiwari",No,,"[""Services""]","Food products",,2020,food,Micro,Perennial,Unskilled,Permanent,,,,,1,,,,,20000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:11:26",34,godowaliya,Varanasi,"d 40/17 godowliya",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,2,,,,1000,1000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:20:04",34,"suraj pur","Gautam Buddha Nagar","plot no. a 2 119 industrial area site5",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,2,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:28:44",34,sigra,Varanasi,"74, chandrika, colony sigra",No,,"[""Services""]","Repairing & Services",,2019,ahop,Micro,Seasonal,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:38:30",34,firozabad,Firozabad,"33, mohalla chahu, firozabad",No,,"[""Services""]","Repairing & Services",,2018,shop,Micro,Perennial,Unskilled,Permanent,,,1,1,1,,,15000,10000,9000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:30:08",34,jhangirabad,Bulandshahr,"daulat pur road budh wali road",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Seasonal,Unskilled,Permanent,,,,1,2,,,,12000,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:21:46",34,vasundhra,Ghaziabad,"shopug11 unique plaza sec 15 ",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,1000,1000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:15:00",34,mathura,Mathura,"f 19 site a industrial area",No,,"[""Services""]","Repairing & Services",,2020,shop,Micro,Perennial,Unskilled,Permanent,,,,,1,,,,,1000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:39:49",34,bhikhkampur,Aligarh,"add,1 bhikhapur",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:32:17",34,"sanjay nagar",Ghaziabad,"tf 1 manjeet apt sector",No,,"[""Services""]","Repairing & Services",,2020,ship,Micro,Perennial,Unskilled,Permanent,,,,,1,,,,,16000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:41:20",34,panki,"Kanpur Nagar","was 697/695 ratanpur",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,15000,10000,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:37:45",34,etmadpur,Agra,"h. no. 14- 50 bichpyrviyaan, etmadpur, 283202",No,,"[""Services""]","Repairing & Services",,2016,shop,Micro,Perennial,Unskilled,Permanent,1,1,1,1,1,10000,10000,10000,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:43:10",34,"son barsa",Gorakhpur,"barauni road, son barsa",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,12000,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:33:41",34,chandak,Bijnor,"kishanpur chandauk",No,,"[""Services""]","Repairing & Services",,2017,shop,Micro,Perennial,Unskilled,Permanent,,1,1,1,1,,10000,15000,10000,13000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:23:25",34,ghazibad,Ghaziabad,"heera lal colony near arya samaj mandir, main road",No,,"[""Services""]","Hosiery Garments",,2019,garments,Small,Perennial,Unskilled,Permanent,,,,1,1,,,,10000,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:35:15",34,sikandrabad,Bulandshahr,"175 chaudhary wara",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:45:01",34,dalmau,RaeBareli,"adarsh nagar muraibagh",No,,"[""Services""]","Repairing & Services",,2020,shop,Micro,Perennial,Unskilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:17:53",34,sahibabad,Aligarh,"prem chowk pala sahibad",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,25000,25000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:24:50",34,chandausi,"Sambhal (Bhim Nagar)","106, visualizza gati chandausi dist shambhal",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,2,,,,20000,25000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:47:26",34,dhanauei,"Amroha (J.P. Nagar)","h no. 103 , shaayri mafi,",No,,"[""Services""]","Repairing & Services",,2020,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:02:51",34,"lakhna ",Etawah,"lakhna, ",No,,"[""Services""]","Repairing & Services",,2020,shop,Micro,Perennial,Unskilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:48:56",34,noida,"Gautam Buddha Nagar","village badolat see actor 49 noida",No,,"[""Services""]","Repairing & Services",,2020,shop,Micro,Perennial,Unskilled,Permanent,,,,,1,,,,,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:57:25",34,"samdhan brach",Kannauj,"moh lohiya nagar post samdhan , dist kannauj",No,,"[""Services""]","Repairing & Services",,2016,shop,Micro,Perennial,Unskilled,Permanent,1,1,1,2,2,10000,10000,10000,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:26:21",34,mohkampur,Meerut,"165 mohakpur phase 1 1,, meerut",No,,"[""Services""]","Food products",,2018,food,Micro,Perennial,Unskilled,Permanent,,,1,1,1,,,12500,12000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:33:46",34,shihani,Ghaziabad,"4 yudhishthir market",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Seasonal,Unskilled,Permanent,,,,2,2,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:50:13",34,maurawan,Unnao,"akhiri, purwa maharaj, unnao",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,12000,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:55:13",34,"anoop shahaer",Bulandshahr,"hno. 79k jama masjid ",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:27:55",34,noida,"Gautam Buddha Nagar","f 605 delta 02 gautam buddh nagar",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,15000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:35:04",34,"j p nagar","Amroha (J.P. Nagar)","laxmi nagar dhanaura gujraula",No,,"[""Services""]","Food products",,2019,food,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:51:45",34,terahi,Azamgarh,"gram jehra oopari panch khora po terahi",No,,"[""Services""]","Food products",,2018,food,Micro,Perennial,Unskilled,Permanent,,,1,2,3,,,15000,10000,12000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:57:25",34,shamli,"Shamali (Prabuddh Nagar)","tyagi bhawa. govt hospital",No,,"[""Services""]","Wood products",,2019,wood,Micro,Seasonal,Semi-Skilled,Permanent,,,,2,2,,,,35000,25000,,,,,,,,,,,PMEGP/MUDRA,,,
